Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.,-9999
1,Jordan Love,123.2,27,Sun,1,1,2023-09-10,24-312,GNB,@,CHI,W 38-20,15,27,12,55.6,245,3,0,0,11.1,0.0,123.2,1,8,3.57,9.1,11.30,10.61,16.3,39.3,QB,LoveJo03
2,Desmond Ridder,111.8,18,Sun,1,1,2023-09-10,24-010,ATL,,CAR,W 24-10,15,18,3,83.3,115,1,0,0,5.6,0.0,111.8,4,24,18.18,6.4,7.50,5.05,7.7,27.3,QB,RiddDe00
3,Brock Purdy,111.3,29,Sun,1,1,2023-09-10,23-257,SFO,@,PIT,W 30-7,19,29,10,65.5,220,2,0,0,6.9,0.0,111.3,3,17,9.38,7.6,8.97,7.59,11.6,46.9,QB,PurdBr00
4,Tua Tagovailoa,110.0,45,Sun,1,1,2023-09-10,25-192,MIA,@,LAC,W 36-34,28,45,17,62.2,466,3,1,0,6.7,2.2,110.0,0,0,0.00,10.4,10.69,10.69,16.6,55.6,QB,TagoTu00
5,Russell Wilson,108.0,34,Sun,1,1,2023-09-10,34-285,DEN,,LVR,L 16-17,27,34,7,79.4,177,2,0,0,5.9,0.0,108.0,2,11,5.56,5.2,6.38,5.72,6.6,50.0,QB,WilsRu00
6,Jimmy Garoppolo,107.9,26,Sun,1,1,2023-09-10,31-312,LVR,@,DEN,W 17-16,20,26,6,76.9,200,2,1,0,7.7,3.8,107.9,0,0,0.00,7.7,7.50,7.50,10.0,53.8,QB,GaroJi00
7,Trevor Lawrence,103.8,32,Sun,1,1,2023-09-10,23-339,JAX,@,IND,W 31-21,24,32,8,75.0,241,2,1,0,6.3,3.1,103.8,2,4,5.88,7.5,7.38,6.82,10.0,55.9,QB,LawrTr00
8,Kirk Cousins,102.8,44,Sun,1,1,2023-09-10,35-022,MIN,,TAM,L 17-20,33,44,11,75.0,344,2,1,0,4.5,2.3,102.8,2,16,4.35,7.8,7.70,7.02,10.4,45.7,QB,CousKi00
9,Justin Herbert,99.2,33,Sun,1,1,2023-09-10,25-184,LAC,,MIA,L 34-36,23,33,10,69.7,229,1,0,0,3.0,0.0,99.2,3,29,8.33,6.9,7.55,6.11,10.0,47.2,QB,HerbJu00
10,Derek Carr,96.1,33,Sun,1,1,2023-09-10,32-166,NOR,,TEN,W 16-15,23,33,10,69.7,305,1,1,0,3.0,3.0,96.1,4,23,10.81,9.2,8.48,6.95,13.3,45.9,QB,CarrDe02
11,Baker Mayfield,94.4,34,Sun,1,1,2023-09-10,28-149,TAM,@,MIN,W 20-17,21,34,13,61.8,173,2,0,0,5.9,0.0,94.4,1,4,2.86,5.1,6.26,5.97,8.2,45.7,QB,MayfBa00
12,Jared Goff,94.1,35,Thu,1,1,2023-09-07,28-328,DET,@,KAN,W 21-20,22,35,13,62.9,253,1,0,0,2.9,0.0,94.1,1,3,2.78,7.2,7.80,7.50,11.5,50.0,QB,GoffJa00
13,Mac Jones,91.3,54,Sun,1,1,2023-09-10,25-005,NWE,,PHI,L 20-25,35,54,19,64.8,316,3,1,1,5.6,1.9,91.3,2,10,3.57,5.9,6.13,5.73,9.0,44.6,QB,JoneMa05
14,Matthew Stafford,91.3,38,Sun,1,1,2023-09-10,35-215,LAR,@,SEA,W 30-13,24,38,14,63.2,334,0,0,0,0.0,0.0,91.3,0,0,0.00,8.8,8.79,8.79,13.9,50.0,QB,StafMa00
15,Jalen Hurts,89.2,33,Sun,1,1,2023-09-10,25-034,PHI,@,NWE,W 25-20,22,33,11,66.7,170,1,0,0,3.0,0.0,89.2,3,16,8.33,5.2,5.76,4.83,7.7,33.3,QB,HurtJa00
16,Geno Smith,84.1,26,Sun,1,1,2023-09-10,32-335,SEA,,LAR,L 13-30,16,26,10,61.5,112,1,0,0,3.8,0.0,84.1,2,17,7.14,4.3,5.08,4.11,7.0,42.9,QB,SmitGe00
17,Zach Wilson,81.4,21,Mon,1,1,2023-09-11,24-039,NYJ,,BUF,W 22-16 (OT),14,21,7,66.7,140,1,1,0,4.8,4.8,81.4,2,13,8.70,6.7,5.48,4.43,10.0,34.8,QB,WilsZa00
18,Lamar Jackson,79.5,22,Sun,1,1,2023-09-10,26-246,BAL,,HOU,W 25-9,17,22,5,77.3,169,0,1,0,0.0,4.5,79.5,4,14,15.38,7.7,5.64,4.23,9.9,46.2,QB,JackLa00
19,Tyrod Taylor,79.2,2,Sun,1,1,2023-09-10,34-038,NYG,,DAL,L 0-40,2,2,0,100.0,6,0,0,0,0.0,0.0,79.2,0,0,0.00,3.0,3.00,3.00,3.0,50.0,QB,TaylTy00
20,Anthony Richardson,79.0,37,Sun,1,1,2023-09-10,21-111,IND,,JAX,L 21-31,24,37,13,64.9,223,1,1,0,2.7,2.7,79.0,4,8,9.76,6.0,5.35,4.63,9.3,43.9,QB,RichAn03
21,Joshua Dobbs,78.7,30,Sun,1,1,2023-09-10,28-227,ARI,@,WAS,L 16-20,21,30,9,70.0,132,0,0,0,0.0,0.0,78.7,3,18,9.09,4.4,4.40,3.45,6.3,36.4,QB,DobbJo00
22,Justin Fields,78.2,37,Sun,1,1,2023-09-10,24-189,CHI,,GNB,L 20-38,24,37,13,64.9,216,1,1,1,2.7,2.7,78.2,4,27,9.76,5.8,5.16,4.00,9.0,41.5,QB,FielJu00
23,C.J. Stroud,78.0,44,Sun,1,1,2023-09-10,21-342,HOU,@,BAL,L 9-25,28,44,16,63.6,242,0,0,0,0.0,0.0,78.0,5,46,10.20,5.5,5.50,4.00,8.6,40.8,QB,StroCJ00
24,Sam Howell,77.6,31,Sun,1,1,2023-09-10,22-359,WAS,,ARI,W 20-16,19,31,12,61.3,202,1,1,0,3.2,3.2,77.6,6,46,16.22,6.5,5.71,3.54,10.6,37.8,QB,HoweSa00
25,Patrick Mahomes,77.5,39,Thu,1,1,2023-09-07,27-355,KAN,,DET,L 20-21,21,39,18,53.8,226,2,1,1,5.1,2.6,77.5,0,0,0.00,5.8,5.67,5.67,10.8,46.2,QB,MahoPa00
26,Dak Prescott,72.0,24,Sun,1,1,2023-09-10,30-043,DAL,@,NYG,W 40-0,13,24,11,54.2,143,0,0,0,0.0,0.0,72.0,0,0,0.00,6.0,5.96,5.96,11.0,41.7,QB,PresDa01
27,Kenny Pickett,68.4,46,Sun,1,1,2023-09-10,25-096,PIT,,SFO,L 7-30,31,46,15,67.4,232,1,2,0,2.2,4.3,68.4,5,34,9.80,5.0,3.52,2.51,7.5,39.2,QB,PickKe00
28,Deshaun Watson,67.3,29,Sun,1,1,2023-09-10,27-361,CLE,,CIN,W 24-3,16,29,13,55.2,154,1,1,0,3.4,3.4,67.3,3,10,9.38,5.3,4.45,3.72,9.6,34.4,QB,WatsDe00
29,Josh Allen,62.7,41,Mon,1,1,2023-09-11,27-113,BUF,@,NYJ,L 16-22 (OT),29,41,12,70.7,236,1,3,0,2.4,7.3,62.7,5,19,10.87,5.8,2.95,2.22,8.1,43.5,QB,AlleJo02
30,Joe Burrow,52.2,31,Sun,1,1,2023-09-10,26-274,CIN,@,CLE,L 3-24,14,31,17,45.2,82,0,0,0,0.0,0.0,52.2,2,15,6.06,2.6,2.65,2.03,5.9,21.2,QB,BurrJo01
31,Bryce Young,48.8,38,Sun,1,1,2023-09-10,22-047,CAR,@,ATL,L 10-24,20,38,18,52.6,146,1,2,0,2.6,5.3,48.8,2,19,5.00,3.8,2.00,1.43,7.3,30.0,QB,YounBr01
32,Jake Browning,39.6,1,Sun,1,1,2023-09-10,27-152,CIN,@,CLE,L 3-24,0,1,1,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,QB,BrowJa08
33,Gardner Minshew II,39.6,2,Sun,1,1,2023-09-10,27-117,IND,,JAX,L 21-31,0,2,2,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,QB,MinsGa00
34,Aaron Rodgers,39.6,1,Mon,1,1,2023-09-11,39-283,NYJ,,BUF,W 22-16 (OT),0,1,1,0.0,0,0,0,0,0.0,0.0,39.6,1,10,50.00,0.0,0.00,-5.00,,0.0,QB,RodgAa00
35,Cooper Rush,39.6,1,Sun,1,1,2023-09-10,29-293,DAL,@,NYG,W 40-0,0,1,1,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,QB,RushCo00
36,Daniel Jones,32.4,28,Sun,1,1,2023-09-10,26-106,NYG,,DAL,L 0-40,15,28,13,53.6,104,0,2,1,0.0,7.1,32.4,7,47,20.00,3.7,0.50,-0.94,6.9,22.9,QB,JoneDa05
37,Ryan Tannehill,28.8,34,Sun,1,1,2023-09-10,35-045,TEN,@,NOR,L 15-16,16,34,18,47.1,198,0,3,0,0.0,8.8,28.8,3,17,8.11,5.8,1.85,1.24,12.4,29.7,QB,TannRy00
